puma,recent_alter,is_st,bbl
3701,No,has st. unit,9.92
3701,No,no st. unit,90.08
3702,No,has st. unit,2.02
3702,No,no st. unit,97.98
3703,No,has st. unit,0.98
3703,No,no st. unit,99.02
3704,No,has st. unit,2.88
3704,No,no st. unit,97.12
3705,No,has st. unit,12.31
3705,No,no st. unit,87.69
3706,No,has st. unit,29.26
3706,No,no st. unit,70.74
3707,No,has st. unit,22.0
3707,No,no st. unit,78.0
3708,No,has st. unit,24.07
3708,No,no st. unit,75.93
3709,No,has st. unit,3.28
3709,No,no st. unit,96.72
3710,No,has st. unit,10.52
3710,No,no st. unit,89.48
3801,No,has st. unit,53.38
3801,No,no st. unit,46.62
3802,No,has st. unit,36.67
3802,No,no st. unit,63.33
3803,No,has st. unit,23.7
3803,No,no st. unit,76.3
3804,No,has st. unit,24.74
3804,No,no st. unit,75.26
3805,No,has st. unit,40.03
3805,No,no st. unit,59.97
3806,No,has st. unit,46.33
3806,No,no st. unit,53.67
3807,No,has st. unit,22.33
3807,No,no st. unit,77.67
3808,No,has st. unit,32.11
3808,No,no st. unit,67.89
3809,No,has st. unit,40.13
3809,No,no st. unit,59.87
3810,No,has st. unit,21.62
3810,No,no st. unit,78.38
3901,No,has st. unit,0.05
3901,No,no st. unit,99.95
3902,No,has st. unit,0.12
3902,No,no st. unit,99.88
3903,No,has st. unit,0.37
3903,No,no st. unit,99.63
4001,No,has st. unit,11.94
4001,No,no st. unit,88.06
4002,No,has st. unit,13.57
4002,No,no st. unit,86.43
4003,No,has st. unit,5.97
4003,No,no st. unit,94.03
4004,No,has st. unit,8.28
4004,No,no st. unit,91.72
4005,No,has st. unit,7.47
4005,No,no st. unit,92.53
4006,No,has st. unit,11.8
4006,No,no st. unit,88.2
4007,No,has st. unit,4.22
4007,No,no st. unit,95.78
4008,No,has st. unit,1.79
4008,No,no st. unit,98.21
4009,No,has st. unit,0.23
4009,No,no st. unit,99.77
4010,No,has st. unit,3.36
4010,No,no st. unit,96.64
4011,No,has st. unit,9.45
4011,No,no st. unit,90.55
4012,No,has st. unit,7.35
4012,No,no st. unit,92.65
4013,No,has st. unit,4.97
4013,No,no st. unit,95.03
4014,No,has st. unit,3.03
4014,No,no st. unit,96.97
4015,No,has st. unit,7.42
4015,No,no st. unit,92.58
4016,No,has st. unit,1.7
4016,No,no st. unit,98.3
4017,No,has st. unit,3.49
4017,No,no st. unit,96.51
4018,No,has st. unit,2.58
4018,No,no st. unit,97.42
4101,No,has st. unit,11.16
4101,No,no st. unit,88.84
4102,No,has st. unit,3.4
4102,No,no st. unit,96.6
4103,No,has st. unit,1.33
4103,No,no st. unit,98.67
4104,No,has st. unit,0.48
4104,No,no st. unit,99.52
4105,No,has st. unit,0.14
4105,No,no st. unit,99.86
4106,No,has st. unit,1.13
4106,No,no st. unit,98.87
4107,No,has st. unit,3.93
4107,No,no st. unit,96.07
4108,No,has st. unit,3.74
4108,No,no st. unit,96.26
4109,No,has st. unit,7.4
4109,No,no st. unit,92.6
4110,No,has st. unit,4.21
4110,No,no st. unit,95.79
4111,No,has st. unit,1.13
4111,No,no st. unit,98.87
4112,No,has st. unit,0.47
4112,No,no st. unit,99.53
4113,No,has st. unit,0.25
4113,No,no st. unit,99.75
4114,No,has st. unit,0.79
4114,No,no st. unit,99.21
nan,No,has st. unit,0.45
nan,No,no st. unit,99.55
