,puma,AssedImprov_perc_07,LotArea_07,availFAR_perc_07,st_2007,YearBuilt_07,is_residential
110,3810.0,86.6,2168.0,-15.6,,1900.0,Y
148,4108.0,80.2,5000.0,46.0,,1920.0,Y
180,3803.0,85.4,8983.0,-16.9,,1887.0,Y
198,3902.0,83.7,4000.0,71.7,,1925.0,Y
263,4110.0,83.6,1800.0,28.9,,1945.0,Y
289,4103.0,72.0,4320.0,50.0,,1950.0,Y
290,4004.0,83.3,960.0,71.8,,1930.0,N
315,4012.0,84.8,2504.0,39.5,,1930.0,Y
378,4016.0,82.9,2614.0,53.6,,1930.0,Y
411,4114.0,84.2,7495.0,56.0,,1945.0,Y
480,3901.0,79.4,4000.0,63.3,,1965.0,Y
495,3807.0,25.8,6967.0,100.0,,0.0,N
527,4002.0,95.3,2450.0,13.6,6.0,1907.0,Y
534,4103.0,73.8,6000.0,24.0,,1945.0,Y
583,4101.0,85.9,25549.0,-24.0,,1957.0,N
624,,0.0,590.0,100.0,,0.0,N
700,3901.0,78.1,5300.0,64.0,,1960.0,Y
722,4013.0,84.3,2475.0,-38.9,,1915.0,Y
753,4109.0,82.4,2458.0,66.4,,1901.0,Y
774,4104.0,82.1,11680.0,64.0,,1930.0,Y
775,4006.0,86.2,2000.0,55.0,,1920.0,Y
778,4013.0,84.3,3502.0,-11.1,,1955.0,Y
801,4103.0,82.8,4760.0,8.0,,1970.0,Y
802,4014.0,84.1,2504.0,30.9,,1975.0,Y
803,4103.0,84.8,2913.0,30.0,,1925.0,Y
894,3810.0,0.0,5317.0,100.0,,0.0,N
907,3804.0,0.0,2125.0,100.0,,0.0,N
919,4011.0,83.3,2555.0,-174.0,,1905.0,Y
958,3803.0,0.0,2500.0,100.0,,0.0,N
960,4105.0,81.8,4000.0,42.0,,1940.0,Y
992,4102.0,68.2,3788.0,-41.7,,0.0,N
1014,4102.0,79.2,2500.0,69.6,,1901.0,Y
1077,3810.0,69.9,2100.0,35.0,,1910.0,Y
1087,4112.0,82.4,4000.0,70.0,,1950.0,Y
1100,4016.0,84.1,4000.0,27.8,,1930.0,Y
1116,4002.0,0.0,2500.0,100.0,,0.0,N
1155,4110.0,84.6,2313.0,21.1,,1940.0,Y
1157,4112.0,81.8,2998.0,59.7,,2005.0,Y
1159,3807.0,91.4,1110.0,49.3,,1880.0,N
1161,4106.0,82.4,4000.0,24.0,,1940.0,Y
1171,,,1911.0,3.7,,2007.0,Y
1266,4104.0,85.5,4000.0,0.0,,1925.0,Y
1281,4105.0,52.2,11300.0,-6.0,,1948.0,N
1306,3701.0,85.0,3672.0,20.0,,1925.0,Y
1324,3902.0,0.0,20580.0,100.0,,0.0,N
1330,4013.0,72.3,2000.0,45.0,,1923.0,Y
1398,3701.0,49.5,5980.0,73.3,,1949.0,N
1459,4017.0,85.3,2500.0,24.8,,1930.0,Y
1521,3702.0,0.0,4106.0,100.0,,0.0,N
1522,3803.0,0.0,2100.0,100.0,,0.0,N
1526,4004.0,75.0,1667.0,10.0,,1930.0,N
1550,4103.0,84.4,6000.0,20.0,,1930.0,Y
1607,4108.0,83.4,4200.0,6.7,,1940.0,Y
1624,4018.0,0.0,3548.0,100.0,,0.0,N
1627,3807.0,64.1,26817.0,-8.0,,1920.0,N
1720,4001.0,83.0,2500.0,80.0,,1899.0,Y
1766,4003.0,70.0,1667.0,25.0,,1910.0,Y
1775,4109.0,78.7,2500.0,66.5,,1931.0,Y
1783,4113.0,85.3,3000.0,25.0,,1930.0,Y
1788,4107.0,78.0,5000.0,43.3,,1930.0,Y
1807,3806.0,14.7,32750.0,60.1,,1965.0,N
1910,,0.0,2577.0,100.0,,0.0,N
1933,4002.0,84.9,2000.0,32.1,,1905.0,Y
1997,4114.0,86.5,2095.0,74.4,,1940.0,Y
2028,4005.0,90.1,2500.0,-0.3,2.0,1920.0,Y
2041,4002.0,21.4,5029.0,100.0,,0.0,N
2045,4003.0,82.4,1800.0,55.6,,1901.0,Y
2075,3805.0,58.4,12873.0,-0.8,34.0,1910.0,Y
2100,3901.0,68.3,9700.0,25.0,,1989.0,Y
2112,4014.0,85.8,2479.0,56.8,,1920.0,Y
2122,4014.0,54.0,3100.0,55.3,,1920.0,N
2193,4112.0,75.9,2414.0,73.5,,1929.0,N
2224,4101.0,82.9,2000.0,-1.1,,1940.0,Y
2259,4017.0,84.9,4128.0,20.8,,1910.0,Y
2277,4018.0,85.2,2783.0,16.7,,1950.0,Y
2302,3807.0,69.1,21052.0,3.0,,1920.0,N
2303,4004.0,0.0,3200.0,100.0,,0.0,N
2345,3807.0,47.8,2510.0,83.4,,1940.0,N
2369,4018.0,84.5,2037.0,-30.4,,1930.0,Y
2417,4016.0,90.8,4000.0,28.4,,1925.0,Y
2428,4006.0,88.9,1720.0,-8.7,,1927.0,Y
2431,3901.0,78.3,4500.0,66.0,,1955.0,Y
2456,4106.0,83.8,6150.0,42.0,,1930.0,Y
2458,4017.0,58.3,11600.0,75.6,,1931.0,N
2467,4103.0,69.9,4070.0,23.8,,1931.0,N
2481,3902.0,74.9,6000.0,70.0,,1950.0,Y
2500,4112.0,74.2,8350.0,87.2,,1901.0,Y
2501,3902.0,81.9,27126.0,92.0,,1960.0,Y
2542,3704.0,19.7,5890.0,10.0,,1948.0,N
2565,4103.0,59.4,4000.0,28.3,,1931.0,N
2626,3810.0,82.3,1780.0,27.6,5.0,1915.0,Y
2676,4103.0,0.0,22500.0,100.0,,0.0,N
2742,4112.0,86.4,2500.0,17.8,,1930.0,Y
2750,4012.0,77.8,2003.0,32.1,,1915.0,Y
2765,3702.0,0.0,2500.0,100.0,,0.0,N
2810,4006.0,0.0,8078.0,100.0,,0.0,N
2896,3903.0,84.8,5000.0,58.3,,1930.0,Y
2930,4001.0,93.1,9145.0,-98.0,,1931.0,N
2986,4105.0,85.2,3368.0,60.0,,1945.0,Y
3002,3902.0,76.3,5750.0,61.7,,1960.0,Y
3008,4108.0,81.2,2800.0,77.6,,1945.0,Y
3029,4016.0,73.7,2100.0,2.4,,1925.0,Y
3068,4113.0,84.6,4220.0,10.0,,1925.0,Y
3086,4105.0,78.8,4400.0,56.0,,1950.0,Y
3128,4011.0,64.6,30092.0,50.0,,1925.0,N
3151,4015.0,80.3,3000.0,53.6,,1915.0,Y
3157,4014.0,84.5,2100.0,-6.7,,1930.0,Y
3225,,0.0,5700.0,100.0,,0.0,N
3257,4001.0,86.3,2997.0,63.4,,1930.0,Y
3272,4002.0,92.8,2500.0,32.1,6.0,1931.0,Y
3292,3707.0,84.6,8774.0,48.5,,1931.0,N
3314,4016.0,84.0,4000.0,-11.7,,1925.0,Y
3342,4014.0,84.3,3005.0,60.8,,1920.0,Y
3346,3709.0,95.1,10000.0,-87.7,58.0,1927.0,Y
3370,4002.0,95.6,2483.0,32.1,6.0,1931.0,Y
3381,4016.0,71.3,1194.0,75.0,,1985.0,N
3420,3901.0,81.4,4000.0,51.7,,1965.0,Y
3441,4111.0,85.7,1383.0,-16.8,,1920.0,Y
3444,4016.0,88.3,2500.0,10.0,,1940.0,Y
3530,4013.0,83.1,2525.0,-18.5,,1925.0,Y
3553,,0.0,2675.0,100.0,,0.0,N
3621,4013.0,85.0,2620.0,-57.0,6.0,1920.0,Y
3622,3901.0,2.3,14500.0,88.3,,2003.0,N
3687,3710.0,84.8,13912.0,85.0,,1954.0,N
3771,4105.0,85.6,4000.0,36.0,,1945.0,Y
3811,4018.0,61.2,477660.0,-6.4,,1931.0,N
3820,3807.0,13.4,2340.0,78.6,,1920.0,N
3872,4102.0,79.8,10000.0,63.3,,1920.0,Y
3876,,64.4,2007.0,27.0,,1930.0,N
3884,3701.0,75.2,3151.0,3.3,,1940.0,Y
3915,4017.0,84.8,1933.0,-14.4,,1910.0,Y
