,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st,has_disappered,has_lotincreased,has_merged
77,4101,2500.0,55.2,,0,0,0,1,0,1
85,4114,1445.0,100.0,,0,0,0,1,0,1
148,4108,5000.0,46.0,,1,1,0,0,0,0
180,3803,8983.0,-16.9,,1,1,0,0,0,0
198,3902,4000.0,71.7,,1,1,0,0,0,0
245,3809,27941.0,100.0,,0,0,0,1,0,1
290,4004,960.0,71.8,,0,1,0,1,0,1
318,4003,2000.0,-39.9,,0,0,0,1,0,1
367,nan,2000.0,100.0,,0,0,0,0,1,1
477,3810,30123.0,23.2,,0,0,0,0,1,1
491,4107,40400.0,-21.4,,0,0,0,0,1,1
495,3807,6967.0,100.0,,0,1,0,1,0,1
506,4004,2500.0,13.2,,0,0,0,1,0,1
513,4107,2500.0,92.8,,0,0,0,1,0,1
558,3803,1875.0,7.8,,0,0,0,1,0,1
573,3902,3750.0,-60.0,,1,0,0,0,0,0
578,4018,2500.0,100.0,,0,0,0,1,0,1
619,4106,7280.0,100.0,,0,0,0,1,0,1
624,nan,590.0,100.0,,1,1,0,0,1,1
697,4005,1836.0,-55.0,,1,0,0,0,0,0
700,3901,5300.0,64.0,,1,1,0,0,0,0
753,4109,2458.0,66.4,,1,1,0,0,0,0
802,4014,2504.0,30.9,,0,1,0,1,0,1
894,3810,5317.0,100.0,,0,1,0,1,0,1
907,3804,2125.0,100.0,,0,1,0,1,0,1
952,4003,1708.0,-10.0,,1,0,0,0,0,0
958,3803,2500.0,100.0,,0,1,0,1,0,1
992,4102,3788.0,-41.7,,1,1,0,0,0,0
1042,4014,2504.0,-68.8,,0,0,0,1,0,1
1050,3902,2448.0,-56.7,,0,0,0,0,1,1
1116,4002,2500.0,100.0,,1,1,0,0,0,0
1171,nan,1911.0,3.7,,0,1,0,1,0,1
1207,4009,10920.0,83.3,,0,0,0,1,0,1
1221,4003,3750.0,-30.0,,0,0,0,1,0,1
1324,3902,20580.0,100.0,,1,1,0,0,0,0
1352,4114,2656.0,11.2,,1,0,0,0,0,0
1396,4103,2500.0,2.0,,0,0,0,0,1,1
1486,4110,2000.0,-83.3,,0,0,0,0,1,1
1521,3702,4106.0,100.0,,1,1,0,0,0,0
1522,3803,2100.0,100.0,,1,1,0,0,1,1
1524,4004,3713.0,-93.8,,0,0,0,0,1,1
1624,4018,3548.0,100.0,,0,1,0,1,0,1
1720,4001,2500.0,80.0,,0,1,0,1,0,1
1775,4109,2500.0,66.5,,1,1,0,0,0,0
1788,4107,5000.0,43.3,,0,1,0,1,0,1
1789,4018,30300.0,88.5,,0,0,0,1,0,1
1807,3806,32750.0,60.1,,1,1,0,0,0,0
1808,4010,1900.0,-11.1,,0,0,0,0,1,1
1828,nan,2522.0,-73.3,,1,0,0,0,0,0
1884,3902,2000.0,-40.0,,1,0,0,0,0,0
1910,nan,2577.0,100.0,,1,1,0,0,0,0
1998,nan,4000.0,100.0,,0,0,0,0,1,1
2041,4002,5029.0,100.0,,1,1,0,0,0,0
2055,4014,3740.0,-80.0,,0,0,0,1,0,1
2136,3806,1660.0,36.8,,0,0,0,1,0,1
2155,3903,5240.0,58.3,,0,0,0,0,1,1
2177,3902,4440.0,-6.7,,0,0,0,0,1,1
2197,4017,1933.0,83.2,,0,0,0,1,0,1
2226,4004,5646.0,100.0,,0,0,0,1,0,1
2259,4017,4128.0,20.8,,1,1,0,0,0,0
2303,4004,3200.0,100.0,,1,1,0,0,0,0
2332,nan,1820.0,100.0,,0,0,0,1,0,1
2365,4014,3600.0,-13.6,,1,0,0,0,0,0
2366,3808,2042.0,79.3,,0,0,0,1,0,1
2369,4018,2037.0,-30.4,,1,1,0,0,0,0
2378,4016,1800.0,83.3,,0,0,0,0,1,1
2390,3709,7000.0,60.8,,1,0,0,0,0,0
2448,nan,2642.0,96.0,,0,0,0,1,0,1
2481,3902,6000.0,70.0,,1,1,0,0,0,0
2500,4112,8350.0,87.2,,0,1,0,1,0,1
2528,4114,2425.0,100.0,,0,0,0,1,0,1
2532,4012,10200.0,65.9,,0,0,0,1,0,1
2556,3705,2064.0,100.0,,0,0,0,1,0,1
2613,4004,3602.0,40.4,,0,0,0,1,0,1
2658,4110,2790.0,32.0,,0,0,0,1,0,1
2676,4103,22500.0,100.0,,0,1,0,1,0,1
2682,nan,2417.0,-27.2,,0,0,0,1,0,1
2698,4112,4330.0,71.1,,1,0,0,0,0,0
2709,nan,42760.0,100.0,,0,0,0,1,0,1
2742,4112,2500.0,17.8,,1,1,0,0,0,0
2765,3702,2500.0,100.0,,1,1,0,0,0,0
2810,4006,8078.0,100.0,,1,1,0,0,0,0
2823,4003,2000.0,100.0,,0,0,0,1,0,1
2848,nan,3000.0,100.0,,1,0,0,0,0,0
2935,4112,6183.0,45.0,,1,0,0,0,0,0
2954,4018,3847.0,71.6,,0,0,0,1,0,1
3008,4108,2800.0,77.6,,0,1,0,1,0,1
3038,4008,12000.0,100.0,,0,0,0,1,0,1
3048,4007,288.0,100.0,,0,0,0,1,0,1
3068,4113,4220.0,10.0,,1,1,0,0,0,0
3135,3807,9875.0,36.6,,0,0,0,1,0,1
3225,nan,5700.0,100.0,,1,1,0,0,0,0
3265,nan,4000.0,-63.3,,1,0,0,0,0,0
3444,4016,2500.0,10.0,,1,1,0,0,0,0
3459,nan,1560.0,100.0,,0,0,0,0,1,1
3460,4002,2600.0,100.0,,0,0,0,1,0,1
3461,4016,2200.0,18.9,,0,0,0,0,1,1
3525,nan,27250.0,100.0,,0,0,0,1,0,1
3553,nan,2675.0,100.0,,1,1,0,0,0,0
3622,3901,14500.0,88.3,,1,1,0,0,0,0
3658,3702,2838.0,100.0,,0,0,0,1,0,1
3734,4104,3680.0,100.0,,0,0,0,0,1,1
3766,4002,2500.0,100.0,,0,0,0,1,0,1
3872,4102,10000.0,63.3,,1,1,0,0,0,0
3878,nan,4975.0,100.0,,0,0,0,1,0,1
3899,4007,1503.0,36.6,,0,0,0,1,0,1
3933,nan,2375.0,100.0,,0,1,0,1,0,1
3943,4104,4000.0,48.3,,1,0,0,0,0,0
4095,4005,15855.0,-30.9,71.0,0,0,1,1,0,1
4109,nan,9800.0,100.0,,0,0,0,1,0,1
4128,nan,6545.0,99.0,,0,1,0,1,0,1
4141,4104,5450.0,63.3,,1,1,0,0,0,0
4271,nan,3250.0,100.0,,1,1,0,0,0,0
4336,3807,2300.0,100.0,,0,0,0,1,0,1
4351,4106,5000.0,48.3,,1,1,0,0,0,0
4357,4006,15000.0,100.0,,1,0,0,0,1,1
4389,3809,2364.0,100.0,,0,0,0,1,0,1
4449,3804,3784.0,-2.0,,0,0,0,1,0,1
4480,nan,2500.0,100.0,,0,0,0,1,0,1
4501,3903,4838.0,100.0,,0,0,0,0,1,1
4520,4109,5000.0,82.7,,1,1,0,0,1,1
4568,4002,6400.0,-15.6,,0,1,0,0,1,1
4572,nan,1750.0,34.2,,1,0,0,0,0,0
4627,nan,10320.0,100.0,,0,0,0,1,0,1
4629,3803,4037.0,-10.5,,0,0,0,1,0,1
4667,4008,2000.0,0.8,,1,0,0,0,0,0
4695,4102,2000.0,44.4,,1,1,0,0,1,1
4696,4007,2000.0,100.0,,1,1,0,0,0,0
4729,4005,1400.0,100.0,,0,0,0,0,1,1
4739,3705,4243.0,62.2,,1,1,0,0,0,0
4908,4008,2741.0,100.0,,0,0,0,0,1,1
4909,nan,24000.0,100.0,,0,0,0,0,1,1
4931,nan,2890.0,100.0,,1,1,0,0,0,0
4958,4101,6800.0,77.8,,1,1,0,0,1,1
4970,4003,1917.0,100.0,,1,1,0,0,0,0
4987,4018,31500.0,94.5,,0,0,0,0,1,1
4999,4002,2636.0,47.3,,1,1,0,0,0,0
5026,4003,1950.0,6.0,,0,0,0,1,0,1
5073,4007,3081.0,9.0,,0,0,0,0,1,1
5107,3803,24730.0,-25.4,,0,0,0,1,0,1
5112,nan,12806.0,100.0,,0,1,0,1,0,1
5123,3901,16000.0,53.3,,0,0,0,0,1,1
5221,4005,2204.0,75.0,,0,0,0,1,0,1
5282,4016,6213.0,100.0,,0,0,0,1,0,1
5474,4016,2240.0,76.1,,0,1,0,1,0,1
5566,4003,2000.0,55.6,,0,0,0,1,0,1
5673,4002,2000.0,-63.0,,0,0,0,1,0,1
5697,4103,2500.0,100.0,,1,1,0,0,0,0
5705,3710,2108.0,15.6,,1,0,0,0,0,0
5853,4109,2500.0,100.0,5.0,1,1,1,0,0,0
5882,nan,2375.0,-50.0,,1,0,0,0,0,0
5954,nan,1440.0,100.0,,0,1,0,1,0,1
6206,4009,4000.0,52.0,,1,1,0,0,0,0
6267,4001,1875.0,-44.9,6.0,0,0,1,1,0,1
6273,4106,2075.0,100.0,,0,0,0,1,0,1
6285,3703,2565.0,100.0,,1,1,0,0,0,0
6372,3902,1980.0,58.3,,1,1,0,0,0,0
6421,3705,4814.0,67.3,,0,0,0,1,0,1
6622,3803,1873.0,100.0,,0,1,0,1,0,1
6635,3705,2400.0,100.0,,0,0,0,1,0,1
6750,nan,36000.0,100.0,,1,1,0,0,1,1
6754,3709,3335.0,95.0,,1,0,0,0,0,0
6757,3810,4296.0,100.0,,0,0,0,1,0,1
6765,4109,5000.0,48.0,,0,1,0,1,0,1
6986,nan,2875.0,-65.0,,1,0,0,0,0,0
7017,4001,35517.0,92.6,,0,0,0,1,0,1
7029,4015,3750.0,100.0,,1,1,0,0,0,0
7057,4018,5511.0,100.0,,0,1,0,1,0,1
7137,4002,7890.0,100.0,,1,1,0,0,0,0
7159,4011,4620.0,78.6,,1,1,0,0,1,1
7237,4001,8210.0,100.0,,1,0,0,0,1,1
7268,3702,4850.0,90.4,,1,1,0,0,0,0
7280,nan,2086.0,-16.9,,0,0,0,1,0,1
7291,4003,2500.0,60.3,,1,1,0,0,0,0
7299,4103,4625.0,81.9,,0,0,0,1,0,1
7302,4006,2129.0,100.0,,1,0,0,0,1,1
7331,3804,277.0,100.0,,0,1,0,1,0,1
7420,4002,2500.0,100.0,,1,0,0,0,0,0
7442,nan,2000.0,100.0,,1,1,0,0,1,1
7474,4004,2500.0,-20.0,,1,1,0,0,0,0
7518,3810,8175.0,-5.8,,0,0,0,1,0,1
7544,3902,6223.0,73.3,,1,1,0,0,0,0
7631,4102,4932.0,100.0,,1,1,0,0,0,0
7645,4008,3800.0,100.0,,0,0,0,1,0,1
7667,4002,1900.0,33.3,,0,0,0,0,1,1
7760,4103,2375.0,-8.3,,0,0,0,1,0,1
7765,4001,5000.0,100.0,,0,0,0,1,0,1
7767,nan,2000.0,100.0,,0,0,0,1,0,1
7795,4105,3200.0,30.0,,1,1,0,0,0,0
7843,4018,15903.0,-1.3,,0,0,0,1,0,1
7856,4112,2124.0,100.0,,1,0,0,0,0,0
