,puma,LotArea_07,availFAR_perc_07,st_2007,recent_built,recent_alter,is_st
110,3810,2168.0,-15.6,,0,1,0
148,4108,5000.0,46.0,,1,1,0
180,3803,8983.0,-16.9,,1,1,0
198,3902,4000.0,71.7,,1,1,0
263,4110,1800.0,28.9,,0,1,0
289,4103,4320.0,50.0,,0,1,0
290,4004,960.0,71.8,,0,1,0
315,4012,2504.0,39.5,,0,1,0
378,4016,2614.0,53.6,,0,1,0
411,4114,7495.0,56.0,,0,1,0
480,3901,4000.0,63.3,,0,1,0
495,3807,6967.0,100.0,,0,1,0
527,4002,2450.0,13.6,6.0,0,1,1
534,4103,6000.0,24.0,,0,1,0
573,3902,3750.0,-60.0,,1,0,0
583,4101,25549.0,-24.0,,0,1,0
697,4005,1836.0,-55.0,,1,0,0
700,3901,5300.0,64.0,,1,1,0
722,4013,2475.0,-38.9,,0,1,0
753,4109,2458.0,66.4,,1,1,0
774,4104,11680.0,64.0,,0,1,0
775,4006,2000.0,55.0,,0,1,0
778,4013,3502.0,-11.1,,0,1,0
801,4103,4760.0,8.0,,0,1,0
802,4014,2504.0,30.9,,0,1,0
803,4103,2913.0,30.0,,0,1,0
894,3810,5317.0,100.0,,0,1,0
907,3804,2125.0,100.0,,0,1,0
952,4003,1708.0,-10.0,,1,0,0
958,3803,2500.0,100.0,,0,1,0
960,4105,4000.0,42.0,,0,1,0
992,4102,3788.0,-41.7,,1,1,0
1014,4102,2500.0,69.6,,0,1,0
1077,3810,2100.0,35.0,,0,1,0
1087,4112,4000.0,70.0,,0,1,0
1100,4016,4000.0,27.8,,0,1,0
1116,4002,2500.0,100.0,,1,1,0
1155,4110,2313.0,21.1,,0,1,0
1157,4112,2998.0,59.7,,0,1,0
1159,3807,1110.0,49.3,,0,1,0
1161,4106,4000.0,24.0,,0,1,0
1266,4104,4000.0,0.0,,0,1,0
1281,4105,11300.0,-6.0,,0,1,0
1306,3701,3672.0,20.0,,0,1,0
1324,3902,20580.0,100.0,,1,1,0
1330,4013,2000.0,45.0,,0,1,0
1352,4114,2656.0,11.2,,1,0,0
1398,3701,5980.0,73.3,,0,1,0
1459,4017,2500.0,24.8,,0,1,0
1521,3702,4106.0,100.0,,1,1,0
1522,3803,2100.0,100.0,,1,1,0
1526,4004,1667.0,10.0,,0,1,0
1550,4103,6000.0,20.0,,0,1,0
1607,4108,4200.0,6.7,,0,1,0
1624,4018,3548.0,100.0,,0,1,0
1627,3807,26817.0,-8.0,,0,1,0
1720,4001,2500.0,80.0,,0,1,0
1766,4003,1667.0,25.0,,0,1,0
1775,4109,2500.0,66.5,,1,1,0
1783,4113,3000.0,25.0,,0,1,0
1788,4107,5000.0,43.3,,0,1,0
1807,3806,32750.0,60.1,,1,1,0
1884,3902,2000.0,-40.0,,1,0,0
1933,4002,2000.0,32.1,,0,1,0
1997,4114,2095.0,74.4,,0,1,0
2028,4005,2500.0,-0.3,2.0,0,1,1
2041,4002,5029.0,100.0,,1,1,0
2045,4003,1800.0,55.6,,0,1,0
2075,3805,12873.0,-0.8,34.0,0,1,1
2100,3901,9700.0,25.0,,0,1,0
2112,4014,2479.0,56.8,,0,1,0
2122,4014,3100.0,55.3,,0,1,0
2193,4112,2414.0,73.5,,0,1,0
2224,4101,2000.0,-1.1,,0,1,0
2259,4017,4128.0,20.8,,1,1,0
2277,4018,2783.0,16.7,,0,1,0
2302,3807,21052.0,3.0,,0,1,0
2303,4004,3200.0,100.0,,1,1,0
2345,3807,2510.0,83.4,,0,1,0
2365,4014,3600.0,-13.6,,1,0,0
2369,4018,2037.0,-30.4,,1,1,0
2390,3709,7000.0,60.8,,1,0,0
2417,4016,4000.0,28.4,,0,1,0
2428,4006,1720.0,-8.7,,0,1,0
2431,3901,4500.0,66.0,,0,1,0
2456,4106,6150.0,42.0,,0,1,0
2458,4017,11600.0,75.6,,0,1,0
2467,4103,4070.0,23.8,,0,1,0
2481,3902,6000.0,70.0,,1,1,0
2500,4112,8350.0,87.2,,0,1,0
2501,3902,27126.0,92.0,,0,1,0
2542,3704,5890.0,10.0,,0,1,0
2565,4103,4000.0,28.3,,0,1,0
2626,3810,1780.0,27.6,5.0,0,1,1
2676,4103,22500.0,100.0,,0,1,0
2698,4112,4330.0,71.1,,1,0,0
2742,4112,2500.0,17.8,,1,1,0
2750,4012,2003.0,32.1,,0,1,0
2765,3702,2500.0,100.0,,1,1,0
2810,4006,8078.0,100.0,,1,1,0
2896,3903,5000.0,58.3,,0,1,0
2930,4001,9145.0,-98.0,,0,1,0
2935,4112,6183.0,45.0,,1,0,0
2986,4105,3368.0,60.0,,0,1,0
3002,3902,5750.0,61.7,,0,1,0
3008,4108,2800.0,77.6,,0,1,0
3029,4016,2100.0,2.4,,0,1,0
3068,4113,4220.0,10.0,,1,1,0
3086,4105,4400.0,56.0,,0,1,0
3128,4011,30092.0,50.0,,0,1,0
3151,4015,3000.0,53.6,,0,1,0
3157,4014,2100.0,-6.7,,0,1,0
3257,4001,2997.0,63.4,,0,1,0
3272,4002,2500.0,32.1,6.0,0,1,1
3292,3707,8774.0,48.5,,0,1,0
3314,4016,4000.0,-11.7,,0,1,0
3342,4014,3005.0,60.8,,0,1,0
3346,3709,10000.0,-87.7,58.0,0,1,1
3370,4002,2483.0,32.1,6.0,0,1,1
3381,4016,1194.0,75.0,,0,1,0
3420,3901,4000.0,51.7,,0,1,0
3441,4111,1383.0,-16.8,,0,1,0
3444,4016,2500.0,10.0,,1,1,0
3530,4013,2525.0,-18.5,,0,1,0
3621,4013,2620.0,-57.0,6.0,0,1,1
3622,3901,14500.0,88.3,,1,1,0
3687,3710,13912.0,85.0,,0,1,0
